FoF,Cell_id,true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FoF2_231005_fluorescent.nucleus,cell78,1,1,-0.21990588,-0.23348075,-0.0054124203,0.071388625,0.22200468,-0.10272916,0.11528674,-0.123970516,-0.1149545,-0.8657638,-0.22003323,-0.5161717,0.37910897,-0.25088006,0.059933644,-0.018409599,-0.1139238,0.3195212,-0.025688078,-0.26588643,-0.08503075,-0.46831506,-0.102085486,-0.075583935,-0.030152958,0.15241246,0.041728202,-0.19129173,0.6215484,-0.5309212,-0.059307914,-0.18974064
FoF1_240918_fluorescent.nucleus,cell78,2,2,-0.023372862,-0.04246895,-0.009496132,0.009907626,-0.0785181,-0.08503744,-0.0024003384,-0.04777801,-0.07705671,0.094370514,-0.008577144,0.12407342,-0.12183595,-0.007723836,-0.08908067,-0.08546106,-0.032687545,-0.1843459,-0.10286629,0.103116356,-0.07060217,0.05770737,0.029803008,-0.06619786,-0.044766568,-0.06784671,0.019086555,-0.03975018,-0.21152022,0.09743086,-0.07801339,-0.043794964
FoF4_231005_fluorescent.nucleus,cell167,3,2,-0.06980284,-0.076166734,-0.041990347,-0.05840385,-0.14194523,-0.0977468,-0.07016231,-0.08436987,-0.09418829,0.09104874,-0.049708463,0.09122667,-0.1810112,-0.057115562,-0.14707023,-0.098377794,-0.06044647,-0.18766573,-0.10827302,0.04611039,-0.10035798,0.05680013,-0.052720837,-0.10421015,-0.09464347,-0.114106104,-0.03289346,-0.05042431,-0.21432625,0.048138335,-0.10429179,-0.08519125
FoF3_240918_fluorescent.nucleus,cell71,1,3,-0.096130356,-0.08426386,-0.039885953,-0.13951914,0.025676392,-0.09279224,-0.045440145,-0.031422086,-0.088398844,-0.08094327,-0.038649525,-0.013127815,-0.20401433,-0.0968115,-0.22222659,-0.14580797,-0.044255257,-0.08617809,-0.14829886,0.0714861,-0.095201954,0.15380889,-0.05450898,-0.13602644,-0.12206939,-0.14024667,0.035470255,-0.075455725,0.027281363,0.00013696775,-0.12744293,-0.14495794
FoF4_231005_fluorescent.nucleus,cell14,3,2,-0.100753605,-0.09050247,-0.0651418,0.0855252,-0.17009862,-0.08630735,-0.071507275,-0.083051145,-0.0783543,-0.003042562,-0.06613531,0.0076012304,0.130842,-0.09697543,-0.014347199,-0.10123569,-0.06918784,-0.06424262,-0.0918254,-0.16689473,-0.102512345,-0.23805451,-0.091807574,-0.10182722,-0.09191126,-0.003075799,-0.070913956,-0.04666631,-0.22533938,-0.17169851,-0.11064175,-0.0628614
FoF3_231005_fluorescent.nucleus,cell29,3,3,-0.12257078,-0.13405867,-0.12958194,-0.17541726,0.072921425,-0.09770267,0.04382912,-0.07042321,-0.00035138847,-0.16424713,-0.07040106,0.06819324,-0.7207018,0.16608946,-0.3065014,0.025557984,-0.08050168,-0.8387326,0.04519692,-0.07057468,0.18278764,0.63542104,0.0788191,0.02675011,0.11619473,-0.34035432,0.16512673,-0.039906304,1.4598732,0.77720225,0.02444094,0.038068198
FoF3_231005_fluorescent.nucleus,cell6,1,1,-0.20019335,-0.15426295,0.13039133,-0.8315201,2.1208096,-0.033987287,-0.1725606,0.044643894,-0.0035849214,-2.7330675,0.042058,-1.7424417,0.4894536,-0.35013413,0.0146752,0.14631456,-0.0098410435,1.3170896,0.16009629,-0.12586057,0.15616146,-0.28922653,-0.23106673,0.21885484,0.19155203,0.055594765,-0.06314297,-0.0112169925,2.957193,-0.89710605,0.13220713,-0.40066063
FoF2_231005_fluorescent.nucleus,cell12,2,2,-0.10669951,-0.077843465,-0.097846165,0.28866035,-0.21523103,-0.079372495,-0.07447182,-0.09502712,-0.070620626,0.18026006,-0.080912635,0.25408283,0.15397786,-0.30200416,-0.16704658,-0.08598344,-0.05884423,-0.13395111,-0.072108,0.06579753,-0.104184434,-0.36105716,-0.18466145,-0.10842855,-0.07773803,0.1605813,-0.09452408,0.020992234,-0.44952005,-0.20636646,-0.11855661,-0.1571661
FoF3_240918_fluorescent.nucleus,cell8,1,1,-0.024494989,-0.039965592,-0.034684006,-0.17063071,0.20889726,-0.020113437,-0.02482798,-0.07940917,-0.015858725,-0.39043218,-0.08392541,-0.31800985,0.020712657,-0.011301188,0.03858722,-0.070623554,-0.065716594,0.10110757,-0.07960659,-0.25133416,-0.08610795,-0.08798154,-0.091120705,-0.09555569,-0.07198009,0.010188501,-0.041434612,-0.072909676,0.36869705,-0.20041564,-0.08767507,-0.067393966
FoF4_231005_fluorescent.nucleus,cell24,1,1,-0.08931214,-0.09422742,-0.068228245,-0.06228182,0.11151661,-0.08484033,-0.06058493,-0.083244056,-0.089424394,-0.12887084,-0.061276305,-0.08157369,0.011076156,-0.090311706,-0.028901812,-0.04971827,-0.071704924,0.09323059,-0.050692335,-0.08366652,-0.060259134,-0.09726083,-0.10252248,-0.05443677,-0.03565027,-0.0035731718,-0.038183875,-0.030982882,0.054360993,-0.19003531,-0.06438028,-0.07087906
